	NAME	TEAM	POS	G	AB	R	H	2B	3B	HR	RBI	SO	SB	OBP	SLG	AVG	OPS
38	Escobar, A	VEN	SS	7	24	3	9	2	0	0	4	7	1	.400	.458	.375	.858
38	Rivera, R	PUR	C	2	8	1	3	2	0	0	1	3	0	.375	.625	.375	1.000
38	Sams, K	NED	RF	3	8	2	3	1	0	1	1	0	0	.444	.875	.375	1.319
38	Tosoni, R	CAN	OF	3	8	0	3	1	0	0	0	2	0	.375	.500	.375	.875
42	Prado, M	VEN	3B	5	19	2	7	3	0	0	5	4	0	.429	.526	.368	.955
43	Beresford, J	AUS	2B	3	11	3	4	0	0	1	4	1	0	.500	.636	.364	1.136
43	Segura, J	DOM	SS	2	11	2	4	2	0	0	3	4	1	.364	.545	.364	.909
43	Tsutsugoh, Y	JPN	IF	6	22	5	8	0	0	3	8	5	0	.462	.773	.364	1.234
46	Chiang, C	TPE	IF	3	14	4	5	2	0	0	1	2	0	.400	.500	.357	.900
46	Verdugo, A	MEX	OF	3	14	3	5	0	0	0	0	2	0	.357	.357	.357	.714
48	de Caster, Y	NED	3B	5	17	1	6	0	0	1	6	2	0	.421	.529	.353	.950
48	Rosario, E	PUR	OF	5	17	3	6	2	1	0	5	3	2	.381	.588	.353	.969
50	Yelich, C	USA	LF	6	20	5	7	3	0	0	2	3	0	.435	.500	.350	.935
51	Gregorius, D	NED	SS	6	23	5	8	4	0	1	8	1	0	.385	.652	.348	1.037
52	Simmons, A	NED	SS	7	32	5	11	2	0	0	3	3	0	.364	.406	.344	.770
53	Alarcon, Y	CUB	C	4	12	0	4	1	0	0	1	1	0	.333	.417	.333	.750
53	Baez, J	PUR	3B	6	24	4	8	1	0	1	5	4	4	.385	.500	.333	.885
53	Bautista, J	DOM	RF	5	18	3	6	0	0	1	5	5	1	.435	.500	.333	.935
53	Cheng, T	TPE	C	1	3	1	1	0	0	0	0	0	0	.500	.333	.333	.833
53	Choi, H	KOR	LF	2	6	1	2	0	0	0	0	1	0	.333	.333	.333	.667
53	D'Antonio, T	AUS	C	1	3	0	1	0	1	0	2	0	0	.333	1.000	.333	1.333
53	Descalso, D	ITA	1B	4	15	1	5	1	0	0	4	3	0	.412	.400	.333	.812
53	Hernandez, E	PUR	OF	5	12	1	4	0	1	0	2	2	0	.385	.500	.333	.885
53	Li, N	CHN	C	2	3	0	1	0	0	0	0	0	0	.333	.333	.333	.667
53	Molina, Y	PUR	C	5	21	4	7	0	0	2	6	2	0	.333	.619	.333	.952
53	Oh, J	KOR	2B	2	3	1	1	0	0	0	0	2	0	.333	.333	.333	.667
53	Park, S	KOR	3B	2	9	1	3	1	0	0	1	3	0	.400	.444	.333	.844
65	Yamada, T	JPN	IF	6	25	4	8	2	0	2	5	3	2	.419	.640	.320	1.059
66	Santos, R	CUB	OF	6	22	3	7	1	1	0	2	5	0	.318	.455	.318	.773
67	Andreoli, J	ITA	OF	4	19	5	6	1	0	3	7	8	0	.350	.842	.316	1.192
68	Hu, C	TPE	OF	3	16	2	5	0	0	0	3	1	0	.313	.313	.313	.625
69	Gonzalez, C	VEN	RF	7	26	2	8	2	0	0	1	7	0	.379	.385	.308	.764
69	Santana, C	DOM	1B	6	26	2	8	2	0	0	3	5	0	.333	.385	.308	.718
71	Cano, R	DOM	2B	6	20	4	6	1	0	1	3	1	0	.481	.500	.300	.981
71	Cruz, N	DOM	RF	6	20	4	6	2	0	3	5	5	0	.417	.850	.300	1.267
73	Nakata, S	JPN	OF	5	17	5	5	1	0	3	8	1	1	.429	.882	.294	1.311
74	Inciarte, E	VEN	OF	7	24	1	7	3	0	0	3	4	0	.333	.417	.292	.750
75	Butera, D	ITA	C	4	14	4	4	0	0	2	2	5	0	.375	.714	.286	1.089
75	Hughes, L	AUS	2B	3	14	3	4	2	0	1	4	5	0	.286	.643	.286	.929
75	Kao, K	TPE	OF	3	14	1	4	1	0	0	0	6	0	.286	.357	.286	.643
75	Perez, S	VEN	C	2	7	2	2	1	0	1	2	0	0	.375	.857	.286	1.232
75	Saavedra, W	CUB	1B	6	21	3	6	1	0	0	0	3	0	.348	.333	.286	.681
75	Seo, G	KOR	2B	3	14	1	4	1	0	0	3	2	1	.333	.357	.286	.690
75	Uchikawa, S	JPN	OF	5	7	1	2	2	0	0	3	1	0	.400	.571	.286	.971
82	Reyes, J	DOM	IF	4	18	2	5	2	0	0	0	3	1	.316	.389	.278	.705
83	Freiman, N	ISR	1B	6	22	7	6	2	0	2	6	5	0	.429	.636	.273	1.065
83	Lee, Y	KOR	OF	3	11	2	3	0	0	0	1	2	0	.467	.273	.273	.739
83	Lin, Y	TPE	3B	3	11	1	3	2	0	0	3	3	0	.357	.455	.273	.812
83	Lucroy, J	USA	C	3	11	0	3	0	0	0	1	2	0	.250	.273	.273	.523
83	Posey, B	USA	C	3	11	2	3	0	0	2	4	1	0	.333	.818	.273	1.152
83	Zarraga, S	NED	C	3	11	2	3	2	0	0	3	2	0	.385	.455	.273	.839
89	Machado, M	DOM	3B	6	26	4	7	2	0	1	2	4	0	.321	.462	.269	.783
90	Odor, R	VEN	2B	6	19	5	5	1	0	2	4	3	0	.263	.632	.263	.895
91	Burcham, S	ISR	SS	6	23	0	6	0	0	0	2	7	0	.261	.261	.261	.522
92	Altuve, J	VEN	2B	7	27	4	7	0	0	0	1	4	0	.286	.259	.259	.545
92	Kikuchi, R	JPN	2B	6	27	3	7	1	0	0	3	6	1	.310	.296	.259	.607
94	Pagan, A	PUR	OF	7	31	6	8	2	0	0	2	6	1	.303	.323	.258	.626
95	Alfaro, J	COL	C	3	12	2	3	0	0	1	1	3	0	.308	.500	.250	.808
95	Avilles, G	CUB	1B	4	4	0	1	0	0	0	2	2	0	.400	.250	.250	.650
95	Carrillo, X	MEX	C	2	8	1	2	0	0	0	0	3	0	.333	.250	.250	.583
95	Cervelli, F	ITA	C	4	16	2	4	2	0	0	1	1	0	.294	.375	.250	.669
95	Cespedes, Y	CUB	OF	5	16	2	4	1	0	0	1	6	0	.250	.313	.250	.563
95	Kennelly, T	AUS	IF	3	12	0	3	0	0	0	1	2	0	.308	.250	.250	.558
95	Kim, H	KOR	SS	2	4	1	1	0	0	0	0	0	0	.400	.250	.250	.650
95	Liddi, A	ITA	3B	4	16	3	4	1	0	2	4	7	0	.250	.688	.250	.938
95	Maggi, D	ITA	3B	3	4	2	1	1	0	0	0	2	0	.400	.500	.250	.900
95	Marte, S	DOM	OF	3	12	2	3	1	0	1	1	1	0	.250	.583	.250	.833
95	Ricardo, D	NED	C	5	16	1	4	0	0	0	2	6	0	.294	.250	.250	.544
95	Sanchez, A	COL	2B	3	12	2	3	2	0	0	1	1	0	.308	.417	.250	.724
95	Tanaka, K	JPN	IF	2	8	2	2	0	0	0	0	1	2	.333	.250	.250	.583
95	Vargas, K	PUR	1B	2	8	3	2	0	0	1	2	3	0	.455	.625	.250	1.080
109	Kinsler, I	USA	2B	5	21	4	5	0	0	0	1	5	0	.333	.238	.238	.571
110	Gailen, B	ISR	OF	6	17	0	4	1	0	0	3	5	0	.316	.294	.235	.610
111	Laird, B	MEX	3B	3	13	3	3	1	0	1	4	3	0	.286	.538	.231	.824
111	Segedin, R	ITA	3B	4	13	3	3	1	0	1	2	3	0	.375	.538	.231	.913
113	Bogaerts, X	NED	SS	7	22	5	5	0	1	0	2	1	0	.419	.318	.227	.738
114	Chu, F	CHN	1B	3	9	1	2	0	0	0	0	5	1	.417	.222	.222	.639
114	Cruz, L	MEX	SS	3	9	1	2	1	0	0	3	0	0	.429	.333	.222	.762
114	Delgado, J	CUB	3B	5	9	0	2	1	0	0	0	2	0	.222	.333	.222	.556
114	Harman, B	AUS	SS	3	9	3	2	1	0	0	0	3	0	.417	.333	.222	.750
114	Jones, A	USA	CF	6	27	4	6	2	0	2	4	5	0	.222	.519	.222	.741
114	Kottaras, G	CAN	C	3	9	0	2	0	0	0	0	1	0	.222	.222	.222	.444
114	Polo, T	COL	OF	3	9	1	2	0	0	0	0	3	1	.417	.222	.222	.639
114	Schoop, J	NED	2B	7	27	4	6	0	0	1	4	5	0	.300	.333	.222	.633
114	Yang, E	KOR	C	2	9	1	2	0	0	0	1	1	0	.200	.222	.222	.422
123	Ayala, A	CUB	SS	6	23	1	5	3	0	0	2	2	0	.208	.348	.217	.556
124	Chirinos, R	VEN	C	6	14	1	3	0	0	0	2	5	0	.313	.214	.214	.527
124	Solano, D	COL	2B	3	14	0	3	0	0	0	2	4	0	.267	.214	.214	.481
124	Stanton, G	USA	RF	5	14	3	3	1	0	1	3	5	0	.353	.500	.214	.853
124	Suzuki, S	JPN	OF	5	14	2	3	0	0	0	0	4	1	.313	.214	.214	.527
128	Kelly, T	ISR	2B	6	24	6	5	1	0	0	0	5	0	.321	.250	.208	.571
129	Aoki, N	JPN	OF	5	20	5	4	3	0	0	2	3	0	.360	.350	.200	.710
129	Borenstein, Z	ISR	OF	6	25	3	5	3	0	0	2	8	0	.286	.320	.200	.606
129	Chen, Y	TPE	3B	3	10	2	2	0	0	0	2	3	0	.333	.200	.200	.533
129	Fuld, S	ISR	OF	6	25	2	5	0	0	0	0	4	0	.286	.200	.200	.486
129	Lin, C	TPE	OF	3	10	2	2	0	0	1	2	1	0	.385	.500	.200	.885
129	Morejon, F	CUB	C	4	10	1	2	1	0	0	1	2	0	.273	.300	.200	.573
129	Ramos, M	COL	SS	3	10	0	2	2	0	0	2	3	0	.385	.400	.200	.785
129	Villar, J	DOM	2B	3	5	2	1	0	0	0	0	1	1	.333	.200	.200	.533
129	Wade, L	AUS	SS	2	5	0	1	0	0	0	1	2	0	.200	.200	.200	.400
129	Wong, J	CHN	SS	3	10	0	2	0	0	0	0	3	0	.200	.200	.200	.400
129	Xu, G	CHN	1B	3	5	0	1	0	0	0	0	1	0	.333	.200	.200	.533
140	Cabrera, M	VEN	1B	6	21	2	4	0	0	1	3	4	0	.320	.333	.190	.653
141	Castillo, W	DOM	C	6	22	3	4	2	0	1	5	3	0	.250	.409	.182	.659
141	Decker, C	ISR	IF	5	11	1	2	0	0	0	0	3	0	.182	.182	.182	.364
141	Dening, M	AUS	OF	3	11	1	2	0	0	0	1	1	1	.308	.182	.182	.490
141	Freeman, F	CAN	1B	3	11	0	2	0	0	0	1	3	0	.182	.182	.182	.364
141	Lee, D	KOR	1B	3	11	0	2	1	0	0	1	3	0	.308	.273	.182	.580
141	Nimmo, B	ITA	OF	3	11	3	2	0	0	1	2	2	0	.308	.455	.182	.762
141	Orr, P	CAN	2B	3	11	0	2	0	0	0	0	5	0	.182	.182	.182	.364
141	Yang, S	CHN	OF	3	11	0	2	0	0	0	0	2	1	.182	.182	.182	.364
149	Oduber, R	NED	LF	6	17	5	3	1	0	1	2	5	1	.300	.412	.176	.712
150	Chang, R	CHN	SS	3	12	0	2	0	0	0	1	1	0	.167	.167	.167	.333
150	Krieger, T	ISR	2B	6	18	1	3	0	0	0	4	4	0	.400	.167	.167	.567
150	Lin, C	TPE	SS	3	12	0	2	1	0	0	3	5	0	.214	.250	.167	.464
150	Rivera, T	PUR	SS	7	24	3	4	1	0	2	5	4	0	.192	.458	.167	.651
150	Urias, L	MEX	2B	3	6	0	1	0	0	0	0	1	0	.167	.167	.167	.333
150	Wood, E	CAN	3B	3	12	0	2	0	0	0	0	4	0	.167	.167	.167	.333
156	Colabello, C	ITA	1B	4	13	2	2	1	0	1	2	5	0	.313	.462	.154	.774
156	McCutchen, A	USA	RF	4	13	0	2	1	0	0	2	4	0	.154	.231	.154	.385
158	Malo, J	CAN	SS	3	7	2	1	0	0	0	0	1	0	.250	.143	.143	.393
158	Oeltjen, T	AUS	OF	2	7	1	1	0	0	1	1	3	0	.250	.571	.143	.821
158	Perez, R	PUR	C	2	7	2	1	0	0	0	0	1	0	.333	.143	.143	.476
158	Pompey, D	CAN	OF	2	7	0	1	1	0	0	1	2	2	.143	.286	.143	.429
158	Rodriguez, R	COL	1B	3	14	1	2	0	1	0	0	3	0	.143	.286	.143	.429
158	Urshela, G	COL	3B	3	14	0	2	0	0	0	1	3	0	.143	.143	.143	.286
164	Arenado, N	USA	3B	6	22	4	3	1	0	1	3	5	0	.208	.318	.136	.527
164	Martinez, V	VEN	IF	7	22	2	3	0	0	1	2	8	0	.296	.273	.136	.569
166	Cecchini, G	ITA	SS	4	15	0	2	1	0	0	1	2	0	.133	.200	.133	.333
167	Du, X	CHN	2B	3	8	0	1	0	0	0	0	4	0	.222	.125	.125	.347
167	Fuentes, R	PUR	OF	6	16	4	2	1	0	0	1	7	1	.263	.188	.125	.451
167	Kim, T	KOR	IF	3	8	1	1	0	0	1	2	2	0	.222	.500	.125	.722
167	Romak, J	CAN	3B	3	8	0	1	0	0	0	0	5	0	.125	.125	.125	.250
167	Smith, C	NED	1B	4	16	0	2	1	0	0	0	4	0	.176	.188	.125	.364
172	Benitez, C	CUB	2B	4	11	1	1	0	0	0	0	3	0	.167	.091	.091	.258
172	Herrera, O	VEN	OF	5	11	2	1	0	0	0	0	1	0	.286	.091	.091	.377
172	O'Neill, T	CAN	OF	3	11	0	1	0	0	0	0	5	0	.167	.091	.091	.258
175	Gonzalez, A	MEX	1B	3	12	1	1	0	0	0	1	2	0	.143	.083	.083	.226
175	Valdez, J	COL	OF	3	12	1	1	1	0	0	0	5	0	.083	.167	.083	.250
177	Goldschmidt, P	USA	1B	5	13	2	1	0	0	0	0	3	0	.250	.077	.077	.327
178	Beltre, A	DOM	3B	4	15	1	1	0	0	0	1	4	0	.125	.067	.067	.192
178	Cepeda, F	CUB	OF	5	15	2	1	0	0	0	0	4	0	.364	.067	.067	.430
180	Chen, Y	CHN	1B	2	2	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Chiarini, M	ITA	OF	1	1	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Contreras, E	COL	OF	3	1	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Flores, J	VEN	C	1	1	0	0	0	0	0	0	0	0	.000	.000	.000	.000
180	Harrison, J	USA	2B	2	5	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Hirata, R	JPN	OF	2	3	0	0	0	0	0	0	1	0	.250	.000	.000	.250
180	Hsu, C	TPE	IF	3	3	0	0	0	0	0	0	2	0	.000	.000	.000	.000
180	Hur, K	KOR	3B	2	3	1	0	0	0	0	0	0	0	.250	.000	.000	.250
180	Kemp, D	NED	3B	3	2	1	0	0	0	0	0	0	0	.000	.000	.000	.000
180	Kim, T	KOR	C	1	2	0	0	0	0	0	0	0	0	.333	.000	.000	.333
180	Li, Z	CHN	3B	1	1	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Lu, Z	CHN	LF	3	10	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Manduley, Y	CUB	SS	4	3	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Meng, W	CHN	C	2	7	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Mercado, O	COL	CF	2	1	1	0	0	0	0	0	0	0	.000	.000	.000	.000
180	Meyers, M	ISR	OF	3	1	2	0	0	0	0	0	0	0	.500	.000	.000	.500
180	Morneau, J	CAN	1B	3	11	1	0	0	0	0	0	5	0	.083	.000	.000	.083
180	Murphy, D	USA	2B	2	6	0	0	0	0	0	0	2	0	.000	.000	.000	.000
180	Na, C	CHN	OF	2	5	0	0	0	0	0	0	2	0	.167	.000	.000	.167
180	Naylor, J	CAN	1B	2	2	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Nilsson, M	AUS	IF	2	2	1	0	0	0	0	0	1	0	.333	.000	.000	.333
180	Ohno, S	JPN	C	1	2	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Perez, H	VEN	3B	6	7	0	0	0	0	0	0	4	0	.000	.000	.000	.000
180	Perkins, R	AUS	C	1	1	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Poma, S	ITA	OF	2	2	1	0	0	0	0	0	0	0	.000	.000	.000	.000
180	Rodriguez, J	MEX	2B	2	3	0	0	0	0	0	0	2	0	.000	.000	.000	.000
180	Rojas Jr., M	DOM	OF	3	2	1	0	0	0	0	0	1	0	.000	.000	.000	.000
180	Schoop, S	NED	SS	3	3	1	0	0	0	0	0	2	0	.000	.000	.000	.000
180	Valle, S	MEX	C	1	4	0	0	0	0	0	0	1	0	.000	.000	.000	.000
180	van der Meer, S	NED	SS	2	1	0	0	0	0	0	0	0	0	.000	.000	.000	.000
180	Wang, W	CHN	C	3	6	0	0	0	0	0	0	4	0	.143	.000	.000	.143
180	Welch, S	AUS	3B	3	7	0	0	0	0	0	0	3	0	.000	.000	.000	.000
180	Whitefield, A	AUS	OF	1	1	0	0	0	0	0	0	0	0	.000	.000	.000	.000
213	Cuevas, W	COL	P	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Guerrero, T	COL	P	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Marimon, S	COL	P	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Mirabal, C	COL	SS	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Nappo, G	COL	P	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Park, K	KOR	OF	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Pinero, D	CAN	3B	1	0	0	0	0	0	0	0	0	0	1.000	.---	.---	1.000
213	Sumitani, G	JPN	C	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Vazquez, O	CUB	C	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
213	Wang, S	TPE	2B	1	0	0	0	0	0	0	0	0	0	.---	.---	.---	.000
