RK	NAME	TEAM	W	L	ERA	G	GS	SV	IP	H	R	ER	HR	BB	SO	WHIP
1	Perez, O	MEX	0	0	0.00	2	0	0	1.1	2	0	0	0	0	0	1.50
1	Pino, Y	COL	0	0	0.00	1	0	0	3.0	1	0	0	0	1	2	0.67
1	Ploeger, J	NED	0	0	0.00	2	0	0	1.0	0	0	0	0	0	1	0.00
1	Richmond, S	CAN	0	0	0.00	1	0	0	2.0	1	0	0	0	0	0	0.50
1	Romero, E	DOM	1	0	0.00	2	0	0	2.2	0	0	0	0	0	3	0.00
1	Romero, J	PUR	0	0	0.00	1	0	0	1.0	0	0	0	0	0	0	0.00
1	Rowland-Smith, R	AUS	0	0	0.00	1	0	0	0.1	0	0	0	0	0	1	0.00
1	Ruzic, D	AUS	0	0	0.00	2	0	0	1.2	0	0	0	0	1	1	0.60
1	Sanchez, J	MEX	0	0	0.00	2	0	0	2.0	2	0	0	0	1	1	1.50
1	Saupold, W	AUS	0	0	0.00	1	1	0	4.0	4	0	0	0	1	4	1.25
1	Searle, R	AUS	0	0	0.00	1	0	0	1.0	2	0	0	0	1	0	3.00
1	Senga, K	JPN	1	0	0.00	3	1	0	9.0	5	0	0	0	1	11	0.67
1	Smyly, D	USA	0	0	0.00	1	1	0	4.2	3	1	0	0	0	8	0.64
1	Soria, J	MEX	0	0	0.00	2	0	0	1.2	3	3	0	1	1	2	2.40
1	Soto, G	PUR	0	0	0.00	2	0	0	3.0	1	0	0	0	2	2	1.00
1	Stuifbergen, T	NED	0	1	0.00	3	0	0	4.2	5	2	0	0	1	2	1.29
1	Suarez, R	VEN	0	0	0.00	2	0	0	1.1	1	0	0	0	2	1	2.25
1	Torres, Y	CUB	0	0	0.00	2	0	0	1.0	1	3	0	0	1	0	2.00
1	Triana, K	COL	0	0	0.00	1	0	0	3.0	4	0	0	0	1	1	1.67
1	van Mil, L	NED	0	1	0.00	4	0	0	5.0	6	1	0	0	2	4	1.60
1	Van Steensel, T	AUS	0	0	0.00	1	0	0	1.0	2	0	0	0	0	1	2.00
1	Wang, C	TPE	0	0	0.00	1	0	0	1.2	1	0	0	0	2	3	1.80
1	Wang, M	CHN	0	0	0.00	1	0	0	1.2	2	0	0	0	0	0	1.20
1	Yntema, O	NED	0	0	0.00	2	0	0	1.2	1	0	0	0	1	2	1.20
1	Zeid, J	ISR	1	0	0.00	4	1	2	10.0	5	0	0	0	6	10	1.10
81	Marquis, J	ISR	1	0	0.93	3	3	0	9.2	7	1	1	1	3	7	1.03
82	Markwell, D	NED	1	0	1.04	3	1	0	8.2	6	1	1	0	3	1	1.04
83	Duffy, D	USA	2	0	1.13	2	2	0	8.0	8	2	1	0	1	8	1.13
83	Martinez, C	DOM	1	1	1.13	2	2	0	8.0	6	3	1	0	3	8	1.13
83	Volquez, E	DOM	0	0	1.13	2	2	0	8.0	10	3	1	0	3	8	1.63
86	Hernandez, F	VEN	0	1	1.17	2	2	0	7.2	5	2	1	0	2	6	0.91
86	Martis, S	NED	1	0	1.17	5	0	0	7.2	3	1	1	0	2	3	0.65
88	Quintana, J	COL	0	0	1.59	1	1	0	5.2	1	1	1	0	1	4	0.35
89	Teheran, J	COL	1	0	1.80	1	1	0	5.0	2	1	1	0	1	3	0.60
90	Chiang, S	TPE	0	0	2.08	1	0	0	4.1	5	1	1	0	0	0	1.15
90	Clippard, T	USA	1	0	2.08	3	0	0	4.1	2	1	1	1	1	6	0.69
90	Santiago, H	PUR	1	0	2.08	3	0	0	8.2	9	4	2	0	5	9	1.62
93	Alvarez, J	VEN	0	0	2.25	4	0	0	4.0	4	2	1	0	2	3	1.50
93	Atherton, T	AUS	0	0	2.25	1	1	0	4.0	4	1	1	0	0	2	1.00
93	Chang, W	KOR	0	0	2.25	1	1	0	4.0	2	1	1	0	3	5	1.25
93	Peralta, W	DOM	0	0	2.25	1	1	0	4.0	2	1	1	0	1	6	0.75
93	Pivetta, N	CAN	0	0	2.25	1	1	0	4.0	5	1	1	0	0	1	1.25
98	Jurrjens, J	NED	1	0	2.38	3	2	0	11.1	12	3	3	1	4	9	1.41
99	Lugo, S	PUR	2	0	2.45	2	2	0	11.0	6	3	3	2	1	5	0.64
99	Robles, H	DOM	0	0	2.45	4	0	0	3.2	3	1	1	0	0	4	0.82
101	Maestri, A	ITA	0	0	2.70	1	1	0	3.1	3	2	1	1	0	1	0.90
101	Neris, H	DOM	0	0	2.70	3	0	0	3.1	2	1	1	1	1	2	0.90
101	Rodney, F	DOM	0	0	2.70	3	0	0	3.1	2	1	1	1	0	4	0.60
101	Sulbaran, J	NED	0	0	2.70	2	0	0	3.1	4	1	1	0	4	2	2.40
105	Makita, K	JPN	1	0	3.00	5	0	2	6.0	5	3	2	0	2	6	1.17
105	Moinelo, L	CUB	0	0	3.00	3	0	0	3.0	3	1	1	0	5	7	2.67
105	Takeda, S	JPN	1	0	3.00	1	1	0	3.0	4	1	1	0	1	3	1.67
108	Diaz, E	PUR	1	0	3.38	4	0	2	5.1	2	2	2	0	4	9	1.13
108	Entenza, N	CUB	0	0	3.38	2	2	0	5.1	5	2	2	0	4	3	1.69
108	Masui, H	JPN	0	0	3.38	3	0	0	2.2	3	1	1	0	0	1	1.13
108	Robertson, D	USA	0	0	3.38	3	0	0	2.2	3	1	1	1	0	2	1.13
112	Burgos, H	PUR	0	0	3.60	2	0	0	5.0	2	2	2	1	1	2	0.60
112	Cha, W	KOR	0	0	3.60	3	0	0	5.0	5	2	2	0	1	4	1.20
112	Hirano, Y	JPN	1	0	3.60	5	0	0	5.0	2	2	2	0	1	6	0.60
115	Morris, A	ITA	0	0	3.68	3	1	0	7.1	2	3	3	0	3	5	0.68
116	Gaviglio, S	ITA	0	0	3.86	1	1	0	4.2	5	2	2	0	2	1	1.50
116	Lopez, J	PUR	1	0	3.86	2	2	0	7.0	6	3	3	1	4	6	1.43
116	Rodriguez, F	VEN	1	0	3.86	2	0	1	2.1	4	3	1	1	1	0	2.14
116	Roman, O	PUR	0	0	3.86	1	1	0	2.1	3	1	1	1	2	3	2.14
116	Stroman, M	USA	0	1	3.86	2	2	0	9.1	11	4	4	0	1	6	1.29
121	Banos, V	CUB	1	0	4.00	2	2	0	9.0	6	4	4	1	2	7	0.89
122	Colome, A	DOM	1	0	4.15	5	0	0	4.1	2	2	2	0	2	5	0.92
123	Gallegos, G	MEX	0	0	4.50	1	0	0	2.0	4	1	1	1	0	1	2.00
123	Mendoza, L	MEX	1	0	4.50	1	1	0	4.0	3	2	2	0	2	2	1.25
125	Bencomo, O	VEN	0	0	4.91	3	1	0	7.1	9	4	4	0	4	8	1.77
125	Castillo, J	VEN	0	0	4.91	4	0	1	3.2	4	3	2	0	1	5	1.36
125	Won, J	KOR	0	0	4.91	3	0	0	3.2	4	2	2	1	1	0	1.36
128	Baker, C	ISR	1	1	5.40	2	2	0	6.2	6	4	4	0	2	3	1.20
128	Berrios, J	PUR	1	0	5.40	1	1	0	5.0	2	3	3	2	1	6	0.60
128	Infante, G	VEN	0	0	5.40	3	0	0	1.2	3	1	1	0	2	1	3.00
128	Molleken, D	CAN	0	0	5.40	2	0	0	1.2	2	1	1	1	0	1	1.20
128	Orlan, R	ISR	0	0	5.40	2	0	0	1.2	1	3	1	0	1	0	1.20
128	Rondon, B	VEN	0	0	5.40	4	0	0	1.2	2	1	1	1	0	3	1.20
128	Sugano, T	JPN	0	0	5.40	2	2	0	8.1	11	5	5	2	0	10	1.32
128	Valdez, C	DOM	0	0	5.40	1	0	0	1.2	1	1	1	0	1	0	1.20
128	Wick, R	CAN	0	0	5.40	2	0	0	1.2	1	1	1	0	2	1	1.80
128	Williams, M	AUS	0	1	5.40	1	0	0	1.2	1	1	1	1	1	1	1.20
138	Crismatt, N	COL	0	0	6.00	1	1	0	3.0	3	3	2	0	1	1	1.33
138	Ju, K	CHN	0	1	6.00	1	1	0	3.0	3	2	2	1	2	0	1.67
138	Martinez, L	CUB	0	0	6.00	1	0	0	3.0	3	2	2	1	0	2	1.00
138	Tsai, M	TPE	0	0	6.00	2	0	0	3.0	4	2	2	0	0	0	1.33
142	Chacin, J	VEN	0	1	6.75	2	1	0	8.0	7	6	6	3	4	5	1.38
142	Leon, A	VEN	0	0	6.75	2	0	0	1.1	2	1	1	1	0	1	1.50
142	Martinez, J	CUB	0	0	6.75	2	0	0	2.2	3	2	2	1	2	2	1.88
142	Medina, J	VEN	0	0	6.75	2	0	0	1.1	1	1	1	0	2	0	2.25
142	Moscoso, G	COL	0	1	6.75	1	0	0	1.1	1	1	1	0	2	0	2.25
142	Zheng, C	CHN	0	0	6.75	1	0	0	1.1	1	1	1	0	1	1	1.50
148	Thornton, Z	ISR	1	0	7.36	4	0	0	3.2	4	3	3	0	2	4	1.64
148	Woo, K	KOR	0	1	7.36	1	1	0	3.2	6	3	3	1	0	3	1.64
150	Perez, M	VEN	0	1	7.50	2	2	0	6.0	10	6	5	1	2	6	2.00
151	Bleich, J	ISR	0	0	7.71	3	0	0	2.1	5	3	2	0	1	2	2.57
151	Givens, M	USA	0	0	7.71	3	0	0	2.1	4	4	2	0	1	5	2.14
151	Ishikawa, A	JPN	1	0	7.71	2	2	0	7.0	7	6	6	2	2	2	1.29
151	Pan, W	TPE	0	0	7.71	1	0	0	2.1	5	2	2	0	0	1	2.14
151	Sim, C	KOR	0	0	7.71	2	0	0	2.1	2	2	2	1	2	1	1.71
156	van den Hurk, R	NED	1	0	8.00	3	3	0	9.0	15	8	8	3	4	5	2.11
157	Garcia, V	CUB	1	0	8.10	3	0	0	6.2	8	7	6	3	2	6	1.50
158	Yera, Y	CUB	0	2	8.22	4	0	0	7.2	8	7	7	0	7	5	1.96
159	Blanco, L	CUB	0	1	8.31	2	2	0	4.1	9	4	4	1	4	3	3.00
160	Alvarado, J	VEN	1	0	9.00	3	0	0	3.0	1	3	3	1	3	4	1.33
160	Chapman, K	CAN	0	0	9.00	2	0	0	2.0	2	2	2	0	1	2	1.50
160	Gallardo, Y	MEX	0	0	9.00	1	1	0	4.0	4	4	4	3	0	5	1.00
160	Gonzalez, M	MEX	0	1	9.00	1	1	0	4.0	4	4	4	1	3	3	1.75
160	Huijer, L	NED	0	0	9.00	2	0	0	3.0	5	4	3	1	1	3	2.00
160	Jang, S	KOR	0	0	9.00	1	0	0	1.0	2	1	1	0	0	1	2.00
160	Kellogg, R	CAN	0	1	9.00	1	0	0	1.0	2	1	1	0	0	0	2.00
160	Lim, C	KOR	0	1	9.00	1	0	0	1.0	2	1	1	0	1	0	3.00
160	Oberto, O	ITA	0	0	9.00	1	0	0	2.0	3	2	2	0	1	2	2.00
160	Salas, F	MEX	0	0	9.00	2	0	0	1.0	3	1	1	1	0	1	3.00
160	Sanchez, A	CUB	0	0	9.00	1	0	0	1.0	2	2	1	0	0	0	2.00
160	Torres, C	MEX	0	0	9.00	2	0	0	2.0	3	2	2	0	1	1	2.00
160	Wagman, J	ISR	0	0	9.00	1	0	0	1.0	1	1	1	0	1	0	2.00
160	Yang, H	KOR	0	0	9.00	1	1	0	3.0	5	3	3	0	0	6	1.67
160	Yang, Y	CHN	0	0	9.00	1	0	0	3.0	2	3	3	0	3	2	1.67
175	Albers, A	CAN	0	0	9.82	2	0	0	3.2	6	4	4	1	1	2	1.91
175	Norimoto, T	JPN	0	0	9.82	2	0	0	3.2	7	4	4	1	1	3	2.18
175	Santana, E	DOM	0	1	9.82	1	1	0	3.2	6	4	4	1	0	2	1.64
178	Axelrod, D	ISR	0	1	10.13	3	0	0	2.2	2	3	3	1	1	1	1.13
179	Diaz, J	DOM	0	0	10.80	2	0	0	1.2	1	2	2	0	1	2	1.20
179	Kalish, J	ISR	0	0	10.80	2	0	0	1.2	3	2	2	0	0	2	1.80
179	Nuno, V	MEX	0	0	10.80	2	0	0	1.2	4	2	2	0	0	1	2.40
179	Sung, C	TPE	0	0	10.80	1	1	0	3.1	6	4	4	0	0	1	1.80
183	Chen, K	TPE	0	0	11.25	2	1	0	4.0	8	5	5	1	1	8	2.25
184	Herron, T	ISR	0	0	11.57	3	0	0	2.1	5	3	3	0	3	2	3.43
184	Lugo, L	ITA	0	1	11.57	1	1	0	2.1	5	4	3	0	3	0	3.43
186	Gan, Q	CHN	0	1	12.46	2	1	0	4.1	8	6	6	2	1	4	2.08
187	Cuevas, W	COL	0	1	13.50	2	0	0	2.2	6	7	4	0	2	2	3.00
187	Guerra, D	VEN	0	0	13.50	4	0	0	3.1	9	5	5	1	1	3	3.00
187	Henderson, J	CAN	0	0	13.50	2	0	0	1.1	5	2	2	1	1	2	4.50
187	Kremer, D	ISR	0	0	13.50	1	0	0	0.2	3	1	1	0	0	1	4.50
187	Nielsen, T	ITA	0	1	13.50	2	0	0	0.2	3	2	1	0	2	0	7.50
187	Venditte, P	ITA	0	0	13.50	3	0	0	3.1	5	5	5	1	1	4	1.80
187	Wells, L	AUS	0	1	13.50	2	0	0	2.2	3	4	4	1	1	4	1.50
194	Da Silva, T	ITA	0	0	15.43	3	0	0	2.1	7	4	4	1	0	0	3.00
195	Romano, J	ITA	1	0	16.20	2	0	0	1.2	2	3	3	1	2	4	2.40
196	Burawa, D	ISR	0	0	18.00	2	0	0	2.0	4	4	4	1	2	1	3.00
196	Lo, K	TPE	0	0	18.00	1	0	0	2.0	3	4	4	1	2	1	2.50
196	Miller, A	USA	0	1	18.00	3	0	0	2.0	3	4	4	2	0	4	1.50
199	Chen, H	TPE	0	2	20.25	2	0	0	1.1	4	4	3	1	1	0	3.75
199	Roark, T	USA	0	0	20.25	1	0	0	1.1	3	3	3	1	2	0	3.75
199	Romo, S	MEX	0	0	20.25	2	0	0	1.1	4	3	3	1	1	1	3.75
202	Petit, Y	VEN	0	1	22.50	1	1	0	2.0	3	5	5	1	2	0	2.50
203	Ledezma, W	VEN	0	0	23.63	2	0	0	2.2	6	7	7	1	3	2	3.38
204	Chin, A	CHN	0	0	27.00	1	0	0	0.2	2	2	2	0	1	0	4.50
204	Cordemans, R	NED	0	1	27.00	1	1	0	1.0	4	3	3	0	2	1	6.00
204	Dempster, R	CAN	0	2	27.00	2	2	0	2.1	9	7	7	1	4	1	5.57
204	Lu, C	CHN	0	0	27.00	1	0	0	1.1	2	4	4	1	2	1	3.00
204	Martinez, R	CUB	0	0	27.00	1	0	0	0.1	2	1	1	0	1	0	9.00
204	Rondon, H	VEN	0	1	27.00	2	0	0	1.2	7	5	5	3	2	1	5.40
210	Luo, X	CHN	0	1	36.00	1	0	0	1.0	5	4	4	0	2	0	7.00
211	Neiman, T	ISR	0	0	40.50	2	0	0	0.2	3	3	3	0	2	1	7.50
212	Garcia, J	CUB	0	0	54.00	2	0	0	0.1	2	2	2	1	1	0	9.00
212	Ni, F	TPE	0	0	54.00	2	0	0	0.1	3	3	2	0	0	0	9.00
212	Osuna, R	MEX	0	1	54.00	2	0	1	0.2	4	5	4	0	2	1	9.00
215	Kuo, C	TPE	0	1	63.00	2	1	0	1.0	8	7	7	0	1	2	9.00
216	DeMark, M	ITA	0	1	108.00	3	0	0	0.1	5	6	4	1	1	0	18.00
217	Kennedy, J	AUS	0	0	*.**	1	0	0	0.0	1	2	2	1	2	0	*.**
